Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Seniority_Days,ChildrenTotal,HasChildren,TotalSpend,TotalPurchases,TotalCampaignsAccepted,WebEngagement,R_Score,F_Score,M_Score,RFM_Score,RFM_Segmento,Education_Postgraduate,Education_Undergraduate,Marital_Status_Partner,Age_Grupo_Millennial (30–44),Age_Grupo_Gen X (45–59),Age_Grupo_Boomer (60–74),Age_Grupo_Silent (75+),Income_Faixa_Média-baixa,Income_Faixa_Média-alta,Income_Faixa_Alta,Valor_Cliente_Prata,Valor_Cliente_Ouro,Valor_Cliente_Platina
51912.0,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,43,4430,1,1,19,4,0,0.14285714285714285,4,1,1,6,Potencial,0,0,1,1,0,0,0,0,1,0,0,0,0
7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,50,4797,0,0,61,6,0,0.25,2,1,1,4,Em risco,0,1,1,0,1,0,0,0,0,0,0,0,0
63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,67,4430,0,0,1102,16,0,1.5,1,3,4,8,Leais,0,0,0,0,0,1,0,0,1,0,0,0,1
59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,74,4430,2,1,310,15,0,1.0,2,2,2,6,Potencial,1,0,0,0,0,1,0,0,1,0,1,0,0
17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,39,4831,0,0,46,5,0,0.125,3,1,1,5,Em risco,0,0,1,1,0,0,0,0,0,0,0,0,0
82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,80,4786,0,0,1315,26,2,2.3333333333333335,4,4,4,12,Campeões,1,0,0,0,0,0,1,0,0,1,0,0,1
41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,46,4756,2,1,96,9,0,0.375,2,2,2,6,Potencial,0,0,1,0,1,0,0,1,0,0,1,0,0
37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,80,4871,0,0,317,13,0,0.5714285714285714,4,2,2,8,Leais,0,0,1,0,0,0,1,1,0,0,1,0,0
76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,77,4662,1,1,1782,26,1,2.2,1,4,4,9,Leais,1,0,1,0,0,0,1,0,0,1,0,0,1
33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,41,4807,1,1,133,8,0,0.3333333333333333,1,1,2,4,Em risco,0,1,0,1,0,0,0,0,0,0,1,0,0
37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,44,4894,0,0,316,12,0,0.5,3,2,2,7,Potencial,0,0,1,1,0,0,0,1,0,0,1,0,0
2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,47,4743,1,1,1730,43,0,0.0,3,4,4,11,Campeões,0,0,1,0,1,0,0,0,0,0,0,0,1
58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,77,4757,1,1,972,17,1,0.25,2,3,3,8,Leais,1,0,1,0,0,0,1,0,1,0,0,1,0
65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,72,4373,1,1,544,20,0,1.5,4,3,3,10,Campeões,1,0,1,0,0,1,0,0,1,0,0,1,0
40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,75,4672,1,1,444,20,0,0.875,2,3,3,8,Leais,0,0,1,0,0,0,1,1,0,0,0,1,0
18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,57,4747,0,0,75,8,0,0.2857142857142857,1,1,2,4,Em risco,0,0,0,0,1,0,0,0,0,0,1,0,0
53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,50,4602,2,1,257,14,0,0.7142857142857143,4,2,2,8,Leais,0,0,1,0,1,0,0,0,1,0,1,0,0
51912.0,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,40,4698,1,1,637,27,0,27.0,4,4,3,11,Campeões,0,0,0,1,0,0,0,0,1,0,0,1,0
38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,37,4598,1,1,131,9,0,0.6666666666666666,3,2,2,7,Potencial,0,0,1,1,0,0,0,1,0,0,1,0,0
84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,61,4423,0,0,1672,26,1,3.0,1,4,4,9,Leais,1,0,1,0,0,1,0,0,0,1,0,0,1
10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,37,4242,0,0,30,8,0,0.6,3,1,1,5,Em risco,1,0,0,1,0,0,0,0,0,0,0,0,0
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,63,4618,0,0,318,11,0,0.6666666666666666,2,2,2,6,Potencial,1,0,1,0,0,1,0,1,0,0,1,0,0
40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,56,4831,1,1,120,9,1,0.4,3,2,2,7,Potencial,0,0,1,0,1,0,0,1,0,0,1,0,0
46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,74,4812,2,1,302,17,0,0.6666666666666666,4,3,2,9,Leais,1,0,0,0,0,1,0,1,0,0,1,0,0
68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,80,4698,0,0,1196,18,0,0.42857142857142855,4,3,4,11,Campeões,1,0,1,0,0,0,1,0,0,1,0,0,1
49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,75,4508,2,1,65,6,0,0.2857142857142857,2,1,1,4,Em risco,1,0,0,0,0,0,1,1,0,0,0,0,0
67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,56,4384,1,1,913,28,0,2.5,3,4,3,10,Campeões,1,0,1,0,1,0,0,0,1,0,0,1,0
23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,50,4504,1,1,81,9,0,0.42857142857142855,1,2,2,5,Em risco,0,1,1,0,1,0,0,0,0,0,1,0,0
42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,53,4342,1,1,67,7,0,0.2,1,1,1,3,Inativos,0,0,0,0,1,0,0,1,0,0,0,0,0
48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,83,4717,0,0,902,24,1,1.1666666666666667,2,4,3,9,Leais,1,0,0,0,0,0,1,1,0,0,0,1,0
80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,46,4630,1,1,1395,21,0,2.0,4,3,4,11,Campeões,0,0,1,0,1,0,0,0,0,1,0,0,1
20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,41,4678,1,1,53,7,0,0.25,1,1,1,3,Inativos,1,0,1,1,0,0,0,0,0,0,0,0,0
21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,69,4756,1,1,22,4,0,0.0,4,1,1,6,Potencial,0,0,1,0,0,1,0,0,0,0,0,0,0
55085.0,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,67,4440,0,0,186,9,0,0.5,1,2,2,5,Em risco,1,0,0,0,0,1,0,0,1,0,1,0,0
7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,51,4474,1,1,31,8,0,0.4,4,2,1,7,Potencial,1,0,1,0,1,0,0,0,0,0,0,0,0
79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,50,4205,0,0,984,16,0,2.0,2,3,3,8,Leais,0,0,0,0,1,0,0,0,0,1,0,1,0
7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,30,4801,0,0,122,10,0,0.3333333333333333,4,2,2,8,Leais,0,1,1,1,0,0,0,0,0,0,1,0,0
41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,58,4605,1,1,55,5,0,0.2,1,1,1,3,Inativos,0,0,1,0,1,0,0,1,0,0,0,0,0
51912.0,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,75,4383,3,1,124,10,0,0.3333333333333333,1,2,2,5,Em risco,0,0,0,0,0,0,1,0,1,0,1,0,0
72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,72,4802,2,1,1319,28,0,0.625,3,4,4,11,Campeões,1,0,1,0,0,1,0,0,0,1,0,0,1
65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,69,4252,1,1,507,17,0,2.0,3,3,3,9,Leais,0,0,0,0,0,1,0,0,1,0,0,1,0
79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,62,4891,0,0,1693,29,0,2.0,4,4,4,12,Campeões,1,0,1,0,0,1,0,0,0,1,0,0,1
35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,49,4747,1,1,72,7,0,0.2857142857142857,2,1,2,5,Em risco,0,0,0,0,1,0,0,1,0,0,1,0,0
82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,49,4226,0,0,1617,21,2,4.0,2,3,4,9,Leais,0,0,0,0,1,0,0,0,0,1,0,0,1
66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,48,4586,2,1,606,23,0,1.3333333333333333,2,4,3,9,Leais,0,0,1,0,1,0,0,0,1,0,0,1,0
82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,71,4791,0,0,1957,27,1,3.0,2,4,4,10,Campeões,1,0,1,0,0,1,0,0,0,1,0,0,1
70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,60,4657,0,0,1093,21,0,1.6666666666666667,3,3,4,10,Campeões,0,0,0,0,0,1,0,0,0,1,0,0,1
27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,38,4266,1,1,29,6,0,0.3333333333333333,3,1,1,5,Em risco,0,0,0,1,0,0,0,0,0,0,0,0,0
51912.0,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,44,4581,1,1,46,7,0,0.3333333333333333,2,1,1,4,Em risco,0,0,0,1,0,0,0,0,1,0,0,0,0
55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,58,4322,1,1,518,19,0,1.1428571428571428,2,3,3,8,Leais,1,0,1,0,1,0,0,0,1,0,0,1,0
75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,44,4564,0,0,1438,21,2,3.0,4,3,4,11,Campeões,1,0,0,1,0,0,0,0,0,1,0,0,1
66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,51,4864,2,1,612,22,0,1.3333333333333333,4,4,3,11,Campeões,0,0,1,0,1,0,0,0,1,0,0,1,0
61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,74,4700,1,1,884,24,0,1.1428571428571428,3,4,3,10,Campeões,0,0,0,0,0,1,0,0,1,0,0,1,0
67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,75,4587,1,1,606,19,0,1.4,4,3,3,10,Campeões,1,0,0,0,0,0,1,0,1,0,0,1,0
70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,78,4409,0,0,1076,16,0,1.75,3,3,4,10,Campeões,0,0,1,0,0,0,1,0,0,1,0,0,1
25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,55,4608,1,1,34,5,0,0.14285714285714285,1,1,1,3,Inativos,0,0,1,0,1,0,0,0,0,0,0,0,0
32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,59,4253,2,1,11,4,0,0.14285714285714285,4,1,1,6,Potencial,0,0,1,0,1,0,0,0,0,0,0,0,0
88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,47,4306,1,1,1274,32,2,2.2,4,4,4,12,Campeões,0,1,0,0,1,0,0,0,0,1,0,0,1
69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,68,4479,1,1,653,18,0,1.25,4,3,3,10,Campeões,0,0,1,0,0,1,0,0,0,1,0,1,0
74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,56,4651,3,1,1562,19,0,0.4,1,3,4,8,Leais,0,0,1,0,1,0,0,0,0,1,0,0,1
66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,72,4860,0,0,1253,21,0,1.3333333333333333,4,3,4,11,Campeões,1,0,1,0,0,1,0,0,1,0,0,0,1
46805.0,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,53,4857,1,1,109,9,0,0.375,3,2,2,7,Potencial,0,1,1,0,1,0,0,1,0,0,1,0,0
65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,67,4673,1,1,863,30,0,1.4285714285714286,3,4,3,10,Campeões,0,0,1,0,0,1,0,0,1,0,0,1,0
60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,51,4654,2,1,661,24,1,1.2857142857142858,1,4,3,8,Leais,1,0,1,0,1,0,0,0,1,0,0,1,0
28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,74,4264,0,0,65,8,0,1.0,2,2,1,5,Em risco,0,0,1,0,0,1,0,0,0,0,0,0,0
40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,49,4761,1,1,13,4,0,0.16666666666666666,2,1,1,4,Em risco,0,0,0,0,1,0,0,1,0,0,0,0,0
75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,54,4875,0,0,1890,19,0,1.4,3,3,4,10,Campeões,1,0,1,0,1,0,0,0,0,1,0,0,1
75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,50,4829,0,0,2209,22,1,1.25,3,4,4,11,Campeões,0,0,0,0,1,0,0,0,0,1,0,0,1
26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,50,4502,0,0,18,4,0,0.0,4,1,1,6,Potencial,0,1,1,0,1,0,0,0,0,0,0,0,0
56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,61,4747,0,0,692,21,1,1.25,4,3,3,10,Campeões,0,0,1,0,0,1,0,0,1,0,0,1,0
29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,41,4873,1,1,165,12,0,0.375,1,2,2,5,Em risco,0,0,0,1,0,0,0,0,0,0,1,0,0
26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,57,4575,1,1,16,4,0,0.14285714285714285,4,1,1,6,Potencial,0,0,1,0,1,0,0,0,0,0,0,0,0
23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,53,4565,1,1,79,9,0,0.42857142857142855,1,2,2,5,Em risco,0,1,1,0,1,0,0,0,0,0,1,0,0
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,63,4618,0,0,318,11,0,0.6666666666666666,2,2,2,6,Potencial,1,0,1,0,0,1,0,1,0,0,1,0,0
81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,39,4328,0,0,778,27,0,3.0,4,4,3,11,Campeões,0,0,0,1,0,0,0,0,0,1,0,1,0
29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,66,4526,2,1,56,7,0,0.14285714285714285,1,1,1,3,Inativos,0,0,1,0,0,1,0,0,0,0,0,0,0
36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,56,4552,2,1,151,13,1,0.42857142857142855,3,2,2,7,Potencial,1,0,1,0,1,0,0,1,0,0,1,0,0
50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,69,4236,1,1,372,17,2,0.8571428571428571,4,3,2,9,Leais,0,0,0,0,0,1,0,1,0,0,1,0,0
79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,53,4252,0,0,1366,19,1,2.5,2,3,4,9,Leais,0,0,1,0,1,0,0,0,0,1,0,0,1
54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,59,4363,1,1,194,10,0,1.0,1,2,2,5,Em risco,0,0,1,0,1,0,0,0,1,0,1,0,0
55085.0,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,69,4791,3,1,603,29,0,0.7777777777777778,4,4,3,11,Campeões,1,0,1,0,0,1,0,0,1,0,0,1,0
51912.0,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,69,4237,2,1,18,4,0,0.14285714285714285,3,1,1,5,Em risco,0,0,0,0,0,1,0,0,1,0,0,0,0
50898.0,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,53,4422,0,0,985,15,0,2.0,1,2,3,6,Potencial,1,0,1,0,1,0,0,1,0,0,0,1,0
42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,54,4302,1,1,32,5,0,0.14285714285714285,2,1,1,4,Em risco,1,0,0,0,1,0,0,1,0,0,0,0,0
23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,56,4240,1,1,43,10,0,0.6,1,2,1,4,Em risco,1,0,1,0,1,0,0,0,0,0,0,0,0
30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,43,4242,1,1,45,6,0,0.3333333333333333,3,1,1,5,Em risco,0,0,1,1,0,0,0,0,0,0,0,0,0
47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,66,4788,1,1,606,22,1,1.1666666666666667,2,4,3,9,Leais,0,0,0,0,0,1,0,1,0,0,0,1,0
51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,54,4648,2,1,63,7,0,0.2857142857142857,3,1,1,5,Em risco,0,0,0,0,1,0,0,0,1,0,0,0,0
78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,75,4414,0,0,978,25,1,2.5,3,4,3,10,Campeões,0,1,1,0,0,0,1,0,0,1,0,1,0
50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,43,4578,0,0,410,16,0,1.0,3,3,3,9,Leais,1,0,1,1,0,0,0,1,0,0,0,1,0
47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,66,4545,1,1,72,7,0,0.25,4,1,2,7,Potencial,0,1,0,0,0,1,0,1,0,0,1,0,0
34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,67,4295,1,1,55,7,0,0.3333333333333333,3,1,1,5,Em risco,1,0,0,0,0,1,0,0,0,0,0,0,0
85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,47,4639,1,1,1169,27,0,1.8,2,4,4,10,Campeões,0,0,1,0,1,0,0,0,0,1,0,0,1
65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,81,4612,0,0,1120,16,0,1.5,2,3,4,9,Leais,1,0,1,0,0,0,1,0,1,0,0,0,1
87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,67,4256,0,0,1097,20,0,3.0,3,3,4,10,Campeões,0,0,1,0,0,1,0,0,0,1,0,0,1
24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,47,4405,1,1,29,5,0,0.2,1,1,1,3,Inativos,0,1,1,0,1,0,0,0,0,0,0,0,0
49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,62,4482,2,1,187,13,0,0.5714285714285714,4,2,2,8,Leais,0,0,1,0,0,1,0,1,0,0,1,0,0
52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,57,4716,2,1,910,26,0,1.0,2,4,3,9,Leais,0,0,1,0,1,0,0,0,1,0,0,1,0
38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,48,4761,1,1,145,9,0,0.42857142857142855,4,2,2,8,Leais,0,0,0,0,1,0,0,1,0,0,1,0,0
89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,66,4773,0,0,850,14,0,2.5,4,2,3,9,Leais,1,0,1,0,0,1,0,0,0,1,0,1,0
77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,47,4443,1,1,969,24,0,2.0,3,4,3,10,Campeões,0,0,1,0,1,0,0,0,0,1,0,1,0
68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,35,4800,0,0,1820,17,1,0.7777777777777778,3,3,4,10,Campeões,1,0,0,1,0,0,0,0,0,1,0,0,1
57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,63,4208,1,1,608,20,1,1.3333333333333333,3,3,3,9,Leais,1,0,1,0,0,1,0,0,1,0,0,1,0
86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,35,4747,0,0,730,25,2,2.0,1,4,3,8,Leais,0,0,0,1,0,0,0,0,0,1,0,1,0
43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,46,4768,1,1,551,21,0,0.8571428571428571,4,3,3,10,Campeões,1,0,1,0,1,0,0,1,0,0,0,1,0
50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,64,4496,2,1,114,8,0,0.3333333333333333,3,2,2,7,Potencial,0,0,0,0,0,1,0,1,0,0,1,0,0
90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,56,4360,0,0,1724,15,2,4.0,3,2,4,9,Leais,0,0,1,0,1,0,0,0,0,1,0,0,1
36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,48,4699,1,1,577,20,0,1.0,2,3,3,8,Leais,0,1,1,0,1,0,0,1,0,0,0,1,0
30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,59,4557,2,1,81,7,0,0.2,1,1,2,4,Em risco,0,1,1,0,1,0,0,0,0,0,1,0,0
21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,57,4431,1,1,33,7,0,0.3333333333333333,3,1,1,5,Em risco,0,0,1,0,1,0,0,0,0,0,0,0,0
56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,73,4578,1,1,660,22,0,1.5,2,4,3,9,Leais,1,0,1,0,0,1,0,0,1,0,0,1,0
32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,59,4329,1,1,80,9,0,0.4,4,2,2,8,Leais,1,0,0,0,1,0,0,0,0,0,1,0,0
